species id,,,,,,,,,,,,,717,724,690,699,700,729,722,711,710,696,712,689,692,731,703,706,701,719,720,718,705,688,697,695,716,708,728,693,723,704,714,702,687,725,730,694,713,715,698,691,726,733
species gername,,,,,,,,,,,,,Feldahorn,Spitzahorn,Bergahorn,Silberahorn,Gemeine Rosskastanie,Götterbaum,Schwarzerle,Sandbirke,Gemeine Hainbuche,Esskastanie,Amerikanischer Zürgelbaum,Kuchenbaum,Baumhasel,Eingriffeliger Weißdorn,Rotbuche,Gemeine Esche,Gemeine Walnuss,Blasenesche,Tulpenbaum,Kulturapfel,Weiße Maulbeere,Ahornblättrige Platane,Zitterpappel,Vogelkirsche,Kaukasische Flügelnuss,Kulturbirne,Traubeneiche,Stieleiche,Roteiche,Gemeine Robinie,Silberweide,Schwedische Mehlbeere,Sommerlinde,Winterlinde,Flatterulme,Bergulme,Ginkgo,Amberbaum,Japanischer Schnurbaum,Lederhülsenbaum,Vogelbeere,Zweigriffeliger Weißdorn
genus,,,,,,,,,,,,,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex
gername,engname,character id,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blatt,Leaf,26,Teilblätter von einem zusammengesetzten Blatt wirken manchmal wie einzelne Blätter. Schau also genau hin wie die einzelnen Blätter angeordnet sind. ,Partial leaves of a compound leaf sometimes look like single leaves. So look carefully at how the individual leaves are positioned. ,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,141,gelb,Yellow,"#fcf3a7,#f9ef2d,#e3cb16",,,50,50,50,50,10,0,30,20,30,30,30,0,30,0,30,40,70,90,40,0,30,30,10,0,20,0,50,50,50,10,30,0,30,30,0,0,40,0,50,40,50,0
,,,,,,,142,"orange, apricot, rot","Orange, apricot, red","#f2a92e,#ff7f48,#f52319",,,0,0,0,0,10,0,0,30,10,0,0,40,20,0,30,0,0,0,20,0,0,30,20,0,20,0,0,0,0,0,0,0,0,0,30,30,0,30,0,0,0,0
,,,,,,,143,rosa,Pink,"#ffd5ff,#fd31e9",,,0,0,0,0,40,0,0,0,0,0,0,40,0,50,0,0,0,0,0,50,0,0,0,50,20,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,30
,,,,,,,144,braun,Brown,"#ddb160,#915737,#723b0c",,,0,0,0,0,0,0,40,30,30,0,0,0,20,0,30,30,0,0,0,0,0,40,30,0,0,0,0,0,0,0,20,0,0,0,30,30,0,30,0,0,0,0
,,,,,,,145,grün,Green,"#f0fbac,#d7f092,#aac50d",,,50,50,50,50,0,50,10,10,20,40,40,0,10,0,0,10,10,0,0,0,40,0,20,0,10,0,50,50,50,0,20,0,40,40,20,20,50,30,0,20,0,0
Frucht,Fruit,30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,146,Beere,Berries,,,/uploads/Frucht_1_e7adf8ce89.svg,0,0,0,0,0,0,0,0,0,0,80,0,0,50,0,0,0,10,0,0,90,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,90,0
,,,,,,,147,Nuss,Nut,,,/uploads/Frucht_2_8b0c000333.svg,0,0,0,0,50,50,0,0,60,70,0,0,100,0,40,50,50,10,0,0,0,40,20,0,40,0,80,80,80,0,0,0,40,40,50,50,0,10,0,0,0,0
,,,,,,,148,geflügelt,Winged,,,/uploads/Frucht_3_42bfa063ed.svg,100,100,100,100,0,50,0,0,30,0,0,0,0,0,0,50,0,10,10,0,0,0,0,0,40,0,0,0,0,10,0,0,50,50,50,50,0,10,0,0,0,0
,,,,,,,149,zapfenartig,Cone-like,,,/uploads/Frucht_4_e0d2b55956.svg,0,0,0,0,10,0,100,70,0,10,0,0,0,0,40,0,0,10,40,0,0,20,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,40,0,0,0,0
,,,,,,,150,apfelähnlich,Apple-shaped,,,/uploads/Frucht_5_bb8fad30ff.svg,0,0,0,0,0,0,0,0,0,0,10,0,0,50,0,0,50,10,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,30,0,0,0,10,100
,,,,,,,151,hülsenartig,Pod-like,,,/uploads/Frucht_6_76fe0dcb68.svg,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,80,100,0,0
,,,,,,,152,andere,Other,,,,0,0,0,0,40,0,0,30,10,20,10,50,0,0,20,0,0,40,40,0,10,30,60,100,20,0,10,10,10,0,100,0,10,10,0,0,40,40,20,0,0,0
