species id,,,,,,,,,,,,100,69,69,81,107,48,72,115,47,70,70,40,40,77,58,85,125,76,64,64,80,80,102,111,111,96,53,106,75,75,24,52,71,90,86,34,59,120,39,67,88,88,33,84,114,54,54,66,66,119,93,116,116,31,31,42,42,83,123,118,60,43,121,94,113,117,117,97,27,98,112,49,110,41,73,68,68,103,103,35,28,28,108,105,122,124,124,128,128,89,89,26,25,57,62,95,95,61,32,22,51,51,23,23,127,127,37,37,104,38,46,44,99,99,30,82,82,55,45,29,74,78,78,50,65,36,92,101,101,1586
species gername,,,,,,,,,,,,Habicht,Sperber,Sperber,Drosselrohrsänger,Sumpfrohrsänger,Teichrohrsänger,Schwanzmeise,Feldlerche,Eisvogel,Krickente,Krickente,Stockente,Stockente,Graugans,Baumpieper,Mauersegler,Graureiher,Waldohreule,Tafelente,Tafelente,Reiherente,Reiherente,Mäusebussard,Bluthänfling,Bluthänfling,Stieglitz,Gartenbaumläufer,Weißstorch,Rohrweihe,Rohrweihe,Kernbeißer,Ringeltaube,Kolkrabe,Nebelkrähe,Saatkrähe,Dohle,Kuckuck,Blaumeise,Höckerschwan,Mehlschwalbe,Buntspecht,Buntspecht,Mittelspecht,Kleinspecht,Schwarzspecht,Goldammer,Goldammer,Rohrammer,Rohrammer,Rotkehlchen,Wanderfalke,Turmfalke,Turmfalke,Trauerschnäpper,Trauerschnäpper,Buchfink,Buchfink,Blässhuhn,Haubenlerche,Teichhuhn,Eichelhäher,Kranich,Gelbspötter,Rauchschwalbe,Wendehals,Neuntöter,Neuntöter,Sturmmöwe,Lachmöwe,Feldschwirl,Haubenmeise,Nachtigall,Schwarzmilan,Rotmilan,Bachstelze,Steinschmätzer,Steinschmätzer,Pirol,Pirol,Kohlmeise,Haussperling,Haussperling,Feldsperling,Tannenmeise,Kormoran,Fasan,Fasan,Hausrotschwanz,Hausrotschwanz,Gartenrotschwanz,Gartenrotschwanz,Zilpzalp,Waldlaubsänger,Fitis,Elster,Grünspecht,Grünspecht,Haubentaucher,Sumpfmeise,Heckenbraunelle,Gimpel,Gimpel,Wintergoldhähnchen,Wintergoldhähnchen,Braunkehlchen,Braunkehlchen,Girlitz,Girlitz,Kleiber,Türkentaube,Waldkauz,Star,Mönchsgrasmücke,Mönchsgrasmücke,Gartengrasmücke,Dorngrasmücke,Dorngrasmücke,Klappergrasmücke,Sperbergrasmücke,Zwergtaucher,Zaunkönig,Amsel,Amsel,Singdrossel,Wacholderdrossel,Stadttaube,Seidenschwanz,Grünfink,Grünfink,Mandarinente
genus,,,,,,,,,,,,unisex,male,female,unisex,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,female,male,unisex,unisex,unisex,male,female,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,male,female,unisex,unisex,unisex,female,male,female,male,unisex,unisex,female,male,female,male,female,male,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,female,male,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,female,male,unisex,unisex,unisex,female,male,female,male,female,male,unisex,unisex,unisex,unisex,male,female,unisex,unisex,unisex,female,male,female,male,female,male,male,female,unisex,unisex,unisex,unisex,female,male,unisex,female,male,unisex,unisex,unisex,unisex,female,male,unisex,unisex,unisex,unisex,male,female,unisex
gername,engname,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,33,gelblich,Yellowish,"#f8e671,#fff09e",,,1,0,0,1,2,2,0,1,1,0,5,0,0,1,4,0,0,1,0,0,0,0,0,1,1,7,1,0,2,2,2,0,0,0,0,0,0,16,1,0,0,0,1,1,0,29,39,1,1,1,1,0,0,0,0,3,3,0,2,0,0,0,26,0,1,0,0,1,0,6,2,0,0,1,0,3,0,27,44,16,0,0,0,3,0,1,1,0,0,1,1,17,25,20,0,10,10,0,1,0,0,0,14,7,2,2,41,35,1,0,1,1,0,0,3,0,0,1,0,1,2,1,0,3,2,0,12,27,15,0
,,,,,,34,orange,Orange,"#e67f16,#f7b781",,,0,3,3,0,0,0,1,0,29,0,3,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1,0,0,1,1,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,4,5,1,16,0,2,2,0,0,0,4,1,0,0,1,0,0,3,1,1,1,0,0,0,0,3,0,9,0,10,5,0,0,0,0,0,0,0,0,6,6,9,15,19,21,0,0,0,0,0,0,3,0,1,0,6,2,11,10,10,0,0,15,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,4,0,5,0,0,20
,,,,,,35,"rot, rötlich oder rosa","Red, reddish or pink","#f44646,#e55f5f,#e1a49e",,,0,1,1,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,16,8,0,0,0,0,3,6,0,0,0,0,0,0,0,0,18,18,19,8,13,1,1,0,0,3,0,2,2,0,0,0,16,2,0,2,6,6,0,5,0,4,4,0,0,0,0,3,0,5,0,2,2,0,0,0,0,0,0,0,0,0,8,4,6,8,8,0,0,0,0,7,7,2,0,0,12,21,0,0,0,0,0,0,2,2,0,1,0,0,0,5,1,0,0,2,0,0,0,0,1,7,11,0,0,20
,,,,,,36,violettlich,Violetish,#a146ff,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20
,,,,,,37,"blau, bläulich","Blue, bluish","#0e98c7,#81c5b2,#94ffff",,,0,1,1,0,0,0,0,0,37,0,1,6,6,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,4,6,2,0,4,3,0,30,0,10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6,1,0,1,15,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,6,1,1,1,1,0,0,0,11,0,0,0,0,1,1,8,0,0,0,0,0,0,16,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,20
,,,,,,38,grün oder grünlich,Green or greenish,"#1a5314,#9f9f3c",,,0,0,0,2,1,0,0,0,9,0,10,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9,0,0,0,0,0,0,0,10,1,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,4,10,0,0,0,2,1,0,4,0,0,0,0,14,24,14,6,30,30,0,0,0,0,0,19,18,0,0,3,6,0,0,0,6,1,1,3,0,0,0,0,0,0,0,0,0,0,12,0,32,32,0
Körpergröße,Size,"Du kannst mehrere Größen auswählen, wenn du dir unsicher bist oder der Vogel vermutlich zwischen zwei Größen liegt. ",You can select several sizes if you are unsure or the bird is probably between two sizes. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,39,"wie Schwäne, Störche, Kranich (90−160 cm)","Like swan, stork, crane (90-160 cm)",,,/uploads/Koerpergroesse_1_6baecaf60f.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,2,0,0,0,0,98,2,2,0,0,1,0,0,0,0,0,97,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,40,"wie Gänse, Bussarde (70−90 cm)","Like geese, buzzards (70-90 cm)",,,/uploads/Koerpergroesse_2_31003ce2bd.svg,37,0,8,0,0,0,0,0,0,0,0,2,2,97,0,0,7,20,1,1,1,1,79,0,0,0,0,1,40,48,0,0,9,0,2,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,10,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,6,0,0,0,71,74,0,0,0,0,0,0,0,0,0,0,71,49,49,0,0,0,0,0,1,0,0,1,1,8,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
,,,,,,41,"wie Enten, Elster, Krähen (40−70 cm)","Like ducks, magpies, crows (40-70 cm)",,,/uploads/Koerpergroesse_3_2156644453.svg,54,35,41,0,0,0,0,0,0,62,62,96,96,3,0,1,1,41,94,94,92,92,17,0,0,0,0,1,56,48,0,15,89,97,95,37,11,0,0,0,5,5,4,2,58,0,0,1,1,0,61,12,12,0,0,0,0,43,1,23,9,0,0,0,1,1,1,66,15,0,0,0,29,23,1,0,0,4,4,0,2,2,0,0,14,47,47,0,0,0,0,0,1,1,85,21,21,79,0,0,0,0,0,0,0,0,1,1,0,3,44,1,0,0,0,0,0,0,2,15,0,0,0,0,0,3,1,0,0,90
